Start x,Start y,End x,End y,Start Move,End Move,Comboer Character,Comboee Character,Start %,End %,Frames Between Moves,Stage
49.891167,-2.2272265,47.414616,-1.7112782,2,3,22,22,12,20,13,8
47.156696,23.450098,47.156696,27.82612,8,16,22,22,58.6,72.07,44,8
50.08708,23.450098,50.08708,45.28974,8,16,22,22,80.17,96.22,52,8
-18.664164,0.0001,-18.894163,0.0001,16,21,22,22,0,20.54,26,8
-44.441162,16.68248,-36.133507,1.3800759,55,8,1,22,5,21.46,34,32
-44.917934,16.851017,-44.917934,1.2474902,55,8,1,22,21.46,36.62,37,32
57.443993,17.212774,69.79063,0.5982816,55,16,1,22,63.079998,81.31999,45,32
69.79063,0.5982816,88.40448,54.085453,16,15,1,22,68.31999,96.31999,66,32
49.65824,16.90289,39.828217,-0.49734068,55,21,1,22,29.019999,40.079998,39,32
-40.50678,17.21094,-28.179844,-1.5499074,55,16,1,22,63.040005,80.72,46,32
-28.179844,-1.5499074,-11.1006155,56.0965,16,15,1,22,67.72,95.72,59,32
39.618507,17.553467,54.128666,14.548872,55,15,1,22,100.72,115.36,46,32
0.17626029,0.0001,-3.9286106,4.277976,16,8,1,22,4.7,30.529999,35,32
-3.9286106,4.277976,-1.791201,-2.0077996,8,21,1,22,21.529999,35.03,29,32
73.22128,16.957727,63.127457,1.6962368,55,8,1,22,35.03,50.679993,39,32
54.93731,0.0001,41.77177,25.312876,16,15,1,22,50.679993,77.87999,55,32
41.77177,25.312876,-3.779675,13.036768,15,15,1,22,63.02999,86.06999,53,32
50.01439,16.829172,59.244194,2.6858115,55,8,1,22,21.84,38.3,36,32
66.63197,17.229094,79.20276,-0.69671464,55,8,1,22,65.549995,78.18,46,32
54.740185,25.0001,51.69529,37.197994,16,8,22,22,69.05,87.75,52,3
51.69529,37.197994,70.46048,46.258286,8,16,22,22,78.75,96.85,60,3
48.398224,25.0001,74.92278,63.72237,8,14,22,22,105.13,120.689995,70,3
76.668625,0.0001,54.6861,49.879997,21,16,22,22,120.689995,133.97,66,3
1.4120476,0.0001,3.4943056,0.0001,17,8,22,22,22,42.16,31,3
-10.969999,0.0001,-3.1720285,-5.5839005,8,21,22,22,52.6,68.88,45,3
-3.1720285,-5.5839005,12.8356285,18.44875,21,17,22,22,60.879997,79.2,56,3
33.874508,24.391514,14.949612,23.508194,55,15,22,22,79.2,95.659996,49,3
-44.315815,24.53674,-64.94059,20.579964,55,15,22,22,95.659996,116.34,51,3
-31.016354,0.0001,-29.899458,0.0001,17,21,22,22,0,16.130001,21,3
-29.899458,0.0001,-17.61247,1.0329614,21,21,22,22,8.37,23.25,52,3
-17.61247,1.0329614,-6.509761,18.698177,21,16,22,22,16.130001,29.25,43,3
-32.644547,0.0001,-16.922867,18.211905,21,16,22,22,53.53,66.25,57,3
3.8522046,0.0001,-1.187603,0.0001,17,21,22,22,0,18.560001,23,3
-14.027769,0.0001,-17.074436,0.0001,18,21,22,22,18.560001,28.690002,10,3
-67.52595,0.0001,-84.34172,22.421392,21,21,22,22,65.399475,79.23947,59,3
-64.14734,11.181749,-62.40243,26.33063,8,16,22,22,79.23947,97.33947,58,3
-62.40243,26.33063,-60.27602,52.062176,16,15,22,22,88.23947,106.33947,64,3
81.411674,1.4370499,81.411674,72.25747,8,17,22,22,119.33947,139.88947,70,3
18.150003,54.4001,18.86841,55.266315,2,3,22,1,0,8,8,31
-10.16833,54.4001,-33.224052,71.77735,11,11,1,22,38.02,56.02,64,31
11.305625,0.0001,8.8651,0.0001,17,21,1,22,0,10.73,29,31
15.998745,72.19336,108.77904,42.9037,15,18,1,22,73.91,90.71001,54,31
7.047542,54.4001,1.7089553,61.550392,16,8,1,22,17.3,38.67,32,31
-4.452139,54.4001,-13.405383,84.760124,16,16,1,22,38.67,58.389996,43,31
16.660183,0.0001,13.7162485,0.0001001358,16,21,1,22,0,13.45,25,31
-43.51265,0.0001,-47.317665,8.221587,16,21,1,22,13.45,27.020002,24,31
-49.124966,27.2001,-40.300735,48.220463,16,15,1,22,36.510002,63.72,46,31
-23.03784,13.732159,-36.633064,17.911945,21,16,22,22,24.279999,36.6,55,2
50.420258,23.299997,32.97747,47.242065,8,16,22,22,90.64001,104.29001,62,2
17.83025,0.002875,38.8181,-4.636215,17,9,22,22,62.93,87.93,31,2
32.289192,19.8751,19.37968,20.630892,21,11,22,22,15.28,35.92,54,2
21.032518,18.825096,21.032518,20.963451,8,8,22,22,35.92,53.109997,32,2
21.032518,20.963451,21.032518,24.116419,8,11,22,22,44.92,66.13,35,2
21.032518,24.116419,31.727602,18.09168,11,8,22,22,53.109997,73.78,56,2
31.727602,18.09168,46.224434,23.38895,8,10,22,22,66.13,90.78,49,2
5.223515,0.002875,9.130361,0.002875,17,21,22,22,0,19.76,27,2
9.130361,0.002875,20.649532,12.330456,21,21,22,22,12,26.96,46,2
