Character,Attack,Combo Rate,Total Occurrences
Samus,Ledge Get Up Attack,0.0,462
Samus,Pummel,0.0,2523
Pichu,Side Tilt,0.0,57
DonkeyKong,Forward Throw,0.0,5
Luigi,Ledge Get Up Attack,0.0,218
Kirby,Side Smash,0.0,82
Pichu,Forward Throw,0.0,96
Peach,Get Up Attack (From Back),0.0,959
Samus,Get Up Attack (From Back),0.0,600
DonkeyKong,Down Smash,0.0,134
Kirby,Nair,0.0,50
Jigglypuff,Ledge Get Up Attack 100%+,0.0,43
Roy,Taunt/Item Throw,0.0,41
Zelda,Down Tilt,0.0,33
Roy,Back Throw,0.0,97
DonkeyKong,Grab,0.0,12
Zelda,Taunt/Item Throw,0.0,53
DonkeyKong,Get Up Attack (From Back),0.0,320
Roy,Pummel,0.0,3223
DrMario,Ledge Get Up Attack 100%+,0.0,47
Yoshi,Down Smash,0.0,5316
Roy,Dash Attack,0.0,288
Luigi,Get Up Attack (From Back),0.0,266
Link,Get Up Attack (From Back),0.0,409
Bowser,Forward Throw,0.0,99
Zelda,Forward Throw,0.0,29
Kirby,Kirby Hat: Jigglypuff Neutral Special,0.0,1
Bowser,Get Up Attack (From Back),0.0,59
DonkeyKong,Up Tilt,0.0,118
Pikachu,Get Up Attack (From Front),0.0,27
Luigi,Beam Sword Jab,0.0,1
Kirby,Down Special,0.0,13
Mario,Taunt/Item Throw,0.0,63
DonkeyKong,Back Throw,0.0,443
Popo,Ledge Get Up Attack,0.0,278
Mario,Grab,0.0,2
Ganondorf,Grab,0.0,13
Kirby,Ledge Get Up Attack,0.0,15
Pichu,Neutral Special,0.0,192
Ness,Back Throw,0.0,2014
Ganondorf,Down Special,0.0,3022
YoungLink,Down Tilt,0.0,119
Samus,Get Up Attack (From Front),0.0,213
Yoshi,Back Throw,0.0,130
Marth,Grab,0.0,93
Peach,Beam Sword Smash Swing,0.0,21
Roy,Ledge Get Up Attack 100%+,0.0,55
Ganondorf,Back Throw,0.0,230
DonkeyKong,Taunt/Item Throw,0.0,28
Zelda,Ledge Get Up Attack,0.0,9
Kirby,Get Up Attack (From Back),0.0,29
Ness,Grab,0.0,7
Roy,Side Tilt,0.0,404
Zelda,Grab,0.0,1
Jigglypuff,Dash Attack,0.0,6817
Ness,Jab 2,0.0,431
Pichu,Up Special,0.0,2
DonkeyKong,Side Tilt,0.0,163
Pichu,Down Smash,0.0,62
DonkeyKong,Side Smash,0.0,165
Falco,Grab,0.0,159
Link,Back Throw,0.0,261
Bowser,Ledge Get Up Attack 100%+,0.0,11
Popo,Ledge Get Up Attack 100%+,0.0,43
Pichu,Side Special,0.0,7
Pichu,Ledge Get Up Attack 100%+,0.0,2
YoungLink,Side Tilt,0.0,228
Kirby,Up Special,0.0,167
Zelda,Ledge Get Up Attack 100%+,0.0,3
Roy,Grab,0.0,3
Link,Grab,0.0,22
GameAndWatch,Side Smash,0.0,859
Roy,Down Smash,0.0,645
Kirby,Down Tilt,0.0,555
GameAndWatch,Down Special,0.0,2
Bowser,Bair,0.0,1264
Link,Rapid Jabs,0.0,381
GameAndWatch,Side Tilt,0.0,143
Yoshi,Get Up Attack (From Front),0.0,92
Peach,Down Special,0.0,10
Sheik,Pummel,0.0,102729
Ganondorf,Down Smash,0.0,1331
Mewtwo,Forward Throw,0.0,126
Ganondorf,Forward Throw,0.0,246
DonkeyKong,Ledge Get Up Attack,0.0,464
Pichu,Get Up Attack (From Front),0.0,2
Kirby,Kirby Hat: Young Link Neutral Special,0.0,1
Mario,Down Smash,0.0,3693
Pichu,Ledge Get Up Attack,0.0,6
Zelda,Up Special,0.0,18
Ness,Down Smash,0.0,51
Bowser,Down Throw,0.0,1
Bowser,Pummel,0.0,2192
DrMario,Side Smash,0.0,1413
Marth,Beam Sword Dash Swing,0.0,2
Mario,Jab 2,0.0,1247
Pichu,Pummel,0.0,143
Luigi,Get Up Attack (From Front),0.0,77
Yoshi,Dash Attack,0.0,3234
Kirby,Taunt/Item Throw,0.0,14
Marth,Down Smash,0.0,5139
DonkeyKong,Up Smash,0.0,154
Mario,Ledge Get Up Attack,0.0,40
Zelda,Get Up Attack (From Back),0.0,23
YoungLink,Ledge Get Up Attack,0.0,35
GameAndWatch,Rapid Jabs,0.0,39
Ganondorf,Pummel,0.0,9808
Ness,Side Tilt,0.0,478
Jigglypuff,Ledge Get Up Attack,0.0,173
CaptainFalcon,Side Smash,0.0,1530
DrMario,Down Special,0.0,111
Bowser,Down Tilt,0.0,83
CaptainFalcon,Taunt/Item Throw,0.0,127
DrMario,Back Throw,0.0,2046
